Title,Rating
L'Armée du crime, 3.5
Brick Mansions, 2.0
Gueules noires, 3.0
Le Théorème de Marguerite, 3.5
Daybreakers, 3.0
Taken, 3.5
L'Armée des 12 singes, 4.0
Anatomie d’une chute, 3.5
Quantum Of Solace, 3.0
Players, 2.5
Hansel & Gretel : Witch Hunters, 3.0
Gemma Bovery, 3.0
Monuments Men, 2.0
Predators, 3.0
The Experiment, 3.0
Hyper tension, 3.5
13, 3.0
Insaisissables 2, 3.0
Le Règne animal, 2.5
Seuls, 3.5
Tout Simplement Noir, 3.0
Jusqu'ici tout va bien, 3.0
Né quelque part, 3.0
Déserts, 3.0
The Divide, 1.5
Star Wars : Episode V - L'Empire contre-attaque, 3.5
Star Wars : Episode III - La Revanche des Sith, 3.5
Star Wars : Episode II - L'Attaque des clones, 3.5
Star Wars : Episode IV - Un nouvel espoir (La Guerre des étoiles), 3.5
Le Hobbit : un voyage inattendu, 3.5
Le Hobbit : la Bataille des Cinq Armées, 3.0
Le Hobbit : la Désolation de Smaug, 3.5
Le Seigneur des anneaux : la communauté de l'anneau, 4.0
Le Seigneur des anneaux : les deux tours, 4.0
Gladiator, 4.0
Pyramide, 2.0
Ne le dis à personne, 3.5
Upgrade, 3.5
A Serious Man, 3.0
The Big Lebowski, 3.0
True Grit, 3.5
Inside Llewyn Davis, 3.5
Blood Ties, 3.5
Die Hard : belle journée pour mourir, 2.0
N.W.A - Straight Outta Compton, 3.5
Invisible Man, 3.5
The Irishman, 4.0
Public Enemies, 3.5
The Raid 2, 4.0
The Raid, 3.5
Night Run, 3.0
Capharnaüm, 4.0
Mise à Mort du Cerf Sacré, 3.0
Cosmopolis, 3.5
Salt, 3.0
Lock Out, 3.0
Dracula Untold, 2.0
Skyline, 3.0
The Hunt, 3.0
Snowden, 3.5
Titane, 2.5
Ça, 3.5
Les Infiltrés, 4.0
Chouf, 3.5
Le Convoi, 2.5
Libre et assoupi, 3.5
La Nuée, 3.5
Cash, 3.5
Transformers 2: la Revanche, 2.0
Tron l'héritage, 4.0
Parasite, 4.0
Memories of Murder, 3.5
The Host, 3.5
Unfriended: Dark Web, 3.0
Unfriended, 3.5
Fitzcarraldo, 3.5
[REC]², 3.5
It Comes At Night, 2.5
Eden Lake, 3.5
Mister Babadook, 3.0
La Cabane dans les bois, 3.5
You're Next, 3.5
Le Projet Blair Witch, 3.0
Halloween, 3.0
Le Nombre 23, 3.0
Untrapped: The Story of Lil Baby, 3.0
Smile, 3.5
The Collector, 3.5
Saw X, 3.5
Le Fils de Saul, 4.0
Le Procès Goldman, 3.5
Un divan à Tunis, 3.5
Les Deux amis, 3.0
All Is Lost, 2.5
Feedback, 3.5
Pontypool, 3.5
Suprêmes, 3.5
El Bar, 3.5
Conjuring 2 : Le Cas Enfield, 3.0
Paranormal Activity 3, 3.0
Insidious, 3.0
Insidious : Chapitre 2, 3.0
Jigsaw, 2.5
Saw 3D, 2.5
I Origins, 3.5
Transcendance, 2.5
Saw 6, 3.0
Saw 3, 3.0
Saw 4, 3.0
Saw 5, 3.0
Saw 2, 3.0
Saw, 3.5
The Bay, 3.0
The Thing, 3.5
Steve Jobs, 3.5
Le Fondateur, 4.0
Mystère à Venise, 3.0
Voyoucratie, 3.5
Mission to Mars, 3.0
Moon, 4.0
Acide, 3.0
Monsters, 3.0
Sentinelle, 3.0
Un métier sérieux, 3.5
Pour elle, 3.5
Les Garçons et Guillaume, à table !, 2.0
Infiltrator, 4.0
Souterrain, 3.5
Don't Breathe 2, 3.0
Victoria, 4.0
Banlieusards, 3.0
Dheepan, 4.5
La Mécanique de l'ombre, 3.0
Un homme idéal, 4.0
Captifs, 3.0
Visions, 2.5
Medianeras, 3.5
Equalizer 3, 3.0
Split, 4.0
Get Out, 4.0
Eternal Sunshine of the Spotless Mind, 4.5
Speed, 3.5
Amanda, 3.0
Captain America : First Avenger, 4.0
Thor : Ragnarok, 3.0
Iron Man 2, 3.5
Captain America, le soldat de l'hiver, 3.5
Captain America: Civil War, 3.5
Avengers : L'ère d'Ultron, 4.0
X-Men: Days of Future Past, 3.5
Transformers : l'âge de l'extinction, 3.0
Jurassic Park, 3.5
Jurassic World, 3.0
Jurassic World: Fallen Kingdom, 2.5
Réalité, 3.5
Rubber, 3.5
Wrong Cops, 2.5
Au Poste!, 3.5
Le Daim, 3.5
Yannick, 3.5
Mad Max: Fury Road, 4.0
Take Shelter, 3.5
The Neon Demon, 2.0
Detroit, 4.0
Good Time, 4.0
Les Meutes, 3.0
Sorcerer, 3.5
Infectés, 2.5
Shaun of the Dead, 4.0
300 : La naissance d'un Empire, 3.0
L'Armée des morts, 3.5
Le Prestige, 4.0
L'Etrangleur de Boston, 3.0
Oppenheimer, 3.5
Black Storm, 2.5
Pompéi, 3.0
La Grande Aventure Lego, 4.0
Phantom of the paradise, 3.0
The Blues Brothers, 4.0
Sans arme, ni haine, ni violence, 3.0
Memento, 4.0
Hancock, 3.5
21 Jump Street, 3.5
Ted, 3.0
Red, 3.0
Very Bad Trip 3, 2.5
Date limite, 3.0
L'Agence tous risques, 3.0
Very Bad Trip 2, 3.0
No Escape, 3.0
Locke, 3.5
Limbo, 2.5
007 Spectre, 3.0
Skyfall, 4.0
1917, 4.0
The Visit, 3.0
Knock at the Cabin, 2.5
Antigang, 3.0
Alien, le huitième passager, 4.0
Eyes Wide Shut, 4.0
Shining, 3.5
2001 : l'odyssée de l'espace, 3.5
Full Metal Jacket, 3.5
Barbare, 3.5
A bord du Darjeeling Limited, 3.5
L'Île aux chiens, 3.5
Les Nouveaux Héros, 3.5
No Country for Old Men - Non, ce pays n'est pas pour le vieil homme, 4.0
Imitation Game, 4.0
The Truman Show, 4.0
Paradise Lost, 4.0
Deepsea Challenge 3D, l'aventure d'une vie, 3.5
Reste un peu, 2.5
Désigné Coupable, 3.5
Deux Moi, 3.5
Sauver ou périr, 3.5
Goliath, 4.0
Boîte noire, 4.0
There Will Be Blood, 3.5
Diversion, 3.5
The Place Beyond the Pines, 3.5
The Nice Guys, 3.5
Gangster Squad, 3.5
The Big Short : le Casse du siècle, 3.5
The Battery, 2.5
Riddick, 3.0
The Crazies, 3.0
Vivarium, 3.0
Million Dollar Baby, 4.0
Gran Torino, 4.5
Joker, 4.0
Blade Runner, 3.5
Guibord s'en va-t-en guerre, 3.5
A Toute Épreuve, 2.0
Moi César, 10 ans 1/2, 1,39 m, 3.0
Tour De France, 2.5
Independence Day, 3.0
Rogue One: A Star Wars Story, 4.0
White House Down, 3.0
2012, 2.0
Taken 3, 3.0
Un Français, 3.5
Incendies, 4.0
Polytechnique, 3.0
Sicario, 3.5
La Crème de la Crème, 3.0
Elysium, 3.0
Chappie, 3.5
Insaisissables, 3.0
Fast and Furious 5, 3.5
Le Choc des Titans, 2.0
L'Incroyable Hulk, 2.0
De l'autre côté du périph, 3.0
Loin du périph, 1.5
L'Outsider, 3.5
Médecin de nuit, 3.5
Le Manoir, 1.0
Omar la fraise, 3.0
Pas très normales activités, 1.0
Greenland - Le dernier refuge, 3.0
Edge Of Tomorrow, 4.0
Tenet, 3.5
3 Days to Kill, 2.0
Looking for Eric, 3.5
Misanthrope, 3.5
Willy 1er, 3.0
Les Rois de l’arnaque, 3.5
La Tour, 2.5
Matrix, 4.0
Snowpiercer, Le Transperceneige, 4.0
Slumdog Millionaire, 4.0
127 heures, 4.0
La Plage, 4.0
Trance, 3.5
Sunshine, 3.5
Coexister, 2.5
The Amazing Spider-Man, 3.5
Very Bad Trip, 3.5
The Bad Batch, 3.0
Django Unchained, 4.5
Bienvenue à Marly-Gomont, 3.5
La Plateforme, 3.5
Babysitting, 3.5
Karaté Kid, 3.5
Arrête-moi si tu peux, 4.0
Balle perdue 2, 3.0
Blade Runner 2049, 4.0
Don’t Look Up: Déni cosmique, 3.5
La Vie scolaire, 4.0
Spider-Man, 4.0
Pulp Fiction, 3.5
K.O., 3.5
20 ans d'écart, 3.5
Brooklyn Affairs, 3.0
Scream VI, 3.0
Les Trois Mousquetaires: D'Artagnan, 3.5
Raging Bull, 3.0
La Rage au ventre, 3.5
Je verrai toujours vos visages, 3.5
Les Frères Sisters, 3.5
Démineurs, 4.0
Assassin's Creed, 2.0
Creed III, 3.5
Super Mario Bros, le film, 3.5
Haute tension, 3.0
Crawl, 2.5
Oxygène, 3.5
La Colline a des yeux, 3.5
Birdman, 4.0
Biutiful, 4.0
Babel, 4.0
John Wick : Chapitre 4, 3.0
Dragonball Evolution, 1.5
La Planète des singes : les origines, 3.5
Alien: Covenant, 3.0
Pearl Harbor, 4.0
Phénomènes, 3.0
Alita : Battle Angel, 2.5
Glass, 3.0
Kingsman : Services secrets, 4.0
La Vie rêvée de Walter Mitty, 3.0
Noé, 2.5
Ratatouille, 4.0
Maman, j'ai raté l'avion, 3.0
Les Gardiens de la Galaxie, 4.0
Spider-Man : New Generation, 4.5
Patients, 4.0
Avengers, 3.5
Venom, 3.0
